Bericht:;Strom;;;;;;;;;;;;;;;;;;;;
von;01.01.2020 00:00;;;;;;;;;;;;;;;;;;;;
bis;01.01.2021 00:00;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;P4_H8_EDA;P1_H8_EDA;Z1_Bad_H8_EDA;Z1_RLT_H8_EDA;Z1_TWW_H8_EDA;Z_EV_H8_EDA;Z_H8_EDA;Z_EA_H8_EDA;;
Jahr;Monat;KW;Wo-Tag;Tag;;Uhrzeit;Stunden;Minuten;Startzeit;Endezeit;;h;h;Wh;Wh;Wh;Wh;Wh;Wh;;
;;;;;;;;;43.831,00;44.197,00; Summe ;2.168,44;860,18;2.589,00;71.069,00;1.342.913,00;3.480.987,00;5.063.331,00; -     ; -     ; -     
2020;1;1;Donnerstag;2;Do 02.01.20;03:00;3;1;02.01.2020 03:00;02.01.2020 03:15;;0,06;0;0;1;127;50;183;;;
2020;1;1;Donnerstag;2;Do 02.01.20;03:15;3;1;02.01.2020 03:15;02.01.2020 03:30;;0,06;0;0;1;133;47;186;;;
2020;1;1;Donnerstag;2;Do 02.01.20;03:30;3;1;02.01.2020 03:30;02.01.2020 03:45;;0,07;0;0;1;77;43;127;;;
2020;1;1;Donnerstag;2;Do 02.01.20;03:45;3;1;02.01.2020 03:45;02.01.2020 04:00;;0,06;0;0;1;6;52;64;;;
2020;1;1;Donnerstag;2;Do 02.01.20;04:00;4;1;02.01.2020 04:00;02.01.2020 04:15;;0,06;0;0;0;6;43;54;;;
2020;1;1;Donnerstag;2;Do 02.01.20;04:15;4;1;02.01.2020 04:15;02.01.2020 04:30;;0,06;0;0;1;6;37;48;;;
2020;1;1;Donnerstag;2;Do 02.01.20;04:30;4;1;02.01.2020 04:30;02.01.2020 04:45;;0,07;0;0;1;5;54;65;;;
2020;1;1;Donnerstag;2;Do 02.01.20;04:45;4;1;02.01.2020 04:45;02.01.2020 05:00;;0,06;0;0;1;6;43;54;;;
2020;1;1;Donnerstag;2;Do 02.01.20;05:00;5;1;02.01.2020 05:00;02.01.2020 05:15;;0,06;0,03;0;1;7;39;51;;;
2020;1;1;Donnerstag;2;Do 02.01.20;05:15;5;1;02.01.2020 05:15;02.01.2020 05:30;;0,06;0,03;0;0;6;52;64;;;
2020;1;1;Donnerstag;2;Do 02.01.20;05:30;5;1;02.01.2020 05:30;02.01.2020 05:45;;0,07;0,03;0;1;7;51;63;;;
2020;1;1;Donnerstag;2;Do 02.01.20;05:45;5;1;02.01.2020 05:45;02.01.2020 06:00;;0,06;0,03;0;1;6;41;53;;;
2020;1;1;Donnerstag;2;Do 02.01.20;06:00;6;1;02.01.2020 06:00;02.01.2020 06:15;;0,06;0,04;0;1;7;50;63;;;
2020;1;1;Donnerstag;2;Do 02.01.20;06:15;6;1;02.01.2020 06:15;02.01.2020 06:30;;0,06;0,03;0;1;6;47;58;;;
2020;1;1;Donnerstag;2;Do 02.01.20;06:30;6;1;02.01.2020 06:30;02.01.2020 06:45;;0,07;0,03;0;1;7;42;54;;;
2020;1;1;Donnerstag;2;Do 02.01.20;06:45;6;1;02.01.2020 06:45;02.01.2020 07:00;;0,06;0,03;0;0;95;51;152;;;
2020;1;1;Donnerstag;2;Do 02.01.20;07:00;7;1;02.01.2020 07:00;02.01.2020 07:15;;0,06;0,03;0;1;134;47;188;;;
2020;1;1;Donnerstag;2;Do 02.01.20;07:15;7;1;02.01.2020 07:15;02.01.2020 07:30;;0,06;0,03;0;1;90;40;136;;;
2020;1;1;Donnerstag;2;Do 02.01.20;07:30;7;1;02.01.2020 07:30;02.01.2020 07:45;;0,07;0,03;0;1;7;49;61;;;
2020;1;1;Donnerstag;2;Do 02.01.20;07:45;7;1;02.01.2020 07:45;02.01.2020 08:00;;0,06;0,03;0;1;6;52;64;;;
2020;1;1;Donnerstag;2;Do 02.01.20;08:00;8;1;02.01.2020 08:00;02.01.2020 08:15;;0,06;0,04;0;0;7;46;58;;;
2020;1;1;Donnerstag;2;Do 02.01.20;08:15;8;1;02.01.2020 08:15;02.01.2020 08:30;;0,06;0,03;0;1;6;40;52;;;
2020;1;1;Donnerstag;2;Do 02.01.20;08:30;8;1;02.01.2020 08:30;02.01.2020 08:45;;0,07;0,03;0;1;7;54;66;;;
2020;1;1;Donnerstag;2;Do 02.01.20;08:45;8;1;02.01.2020 08:45;02.01.2020 09:00;;0,06;0,03;0;1;6;49;61;;;
2020;1;1;Donnerstag;2;Do 02.01.20;09:00;9;1;02.01.2020 09:00;02.01.2020 09:15;;0,06;0,03;0;1;7;38;50;;;
2020;1;1;Donnerstag;2;Do 02.01.20;09:15;9;1;02.01.2020 09:15;02.01.2020 09:30;;0,06;0,03;0;1;6;57;69;;;
2020;1;1;Donnerstag;2;Do 02.01.20;09:30;9;1;02.01.2020 09:30;02.01.2020 09:45;;0,07;0,03;0;0;7;153;165;;;
2020;1;1;Donnerstag;2;Do 02.01.20;09:45;9;1;02.01.2020 09:45;02.01.2020 10:00;;0,06;0,03;0;1;6;94;106;;;
2020;1;1;Donnerstag;2;Do 02.01.20;10:00;10;1;02.01.2020 10:00;02.01.2020 10:15;;0,06;0,04;0;1;7;57;69;;;
2020;1;1;Donnerstag;2;Do 02.01.20;10:15;10;1;02.01.2020 10:15;02.01.2020 10:30;;0,06;0,03;0;1;6;50;62;;;
2020;1;1;Donnerstag;2;Do 02.01.20;10:30;10;1;02.01.2020 10:30;02.01.2020 10:45;;0,07;0,03;0;1;73;177;256;;;
2020;1;1;Donnerstag;2;Do 02.01.20;10:45;10;1;02.01.2020 10:45;02.01.2020 11:00;;0,06;0,03;0;1;132;56;194;;;
2020;1;1;Donnerstag;2;Do 02.01.20;11:00;11;1;02.01.2020 11:00;02.01.2020 11:15;;0,06;0,03;0;0;111;65;182;;;
2020;1;1;Donnerstag;2;Do 02.01.20;11:15;11;1;02.01.2020 11:15;02.01.2020 11:30;;0,06;0,03;0;1;7;49;61;;;
2020;1;1;Donnerstag;2;Do 02.01.20;11:30;11;1;02.01.2020 11:30;02.01.2020 11:45;;0,07;0,03;0;1;6;49;62;;;
2020;1;1;Donnerstag;2;Do 02.01.20;11:45;11;1;02.01.2020 11:45;02.01.2020 12:00;;0,06;0,03;0;1;7;67;78;;;
2020;1;1;Donnerstag;2;Do 02.01.20;12:00;12;1;02.01.2020 12:00;02.01.2020 12:15;;0,06;0,04;0;1;6;56;69;;;
2020;1;1;Donnerstag;2;Do 02.01.20;12:15;12;1;02.01.2020 12:15;02.01.2020 12:30;;0,06;0,03;0;0;7;49;60;;;
