,0,1,2,3,4,5,6,7,8
320,29,34,50,34,39,48,46,33,0
321,39,48,46,33,40,53,35,33,0
322,40,53,35,33,52,42,33,44,0
323,52,42,33,44,49,33,35,53,0
324,49,43,32,43,49,30,34,51,0
325,49,30,34,51,34,30,48,43,0
326,34,30,48,43,31,40,50,32,0
327,31,40,50,32,32,51,38,32,0
328,32,51,38,32,44,46,32,37,0
329,44,46,32,37,51,34,31,50,0
330,51,34,31,50,40,32,42,48,0
331,40,32,42,48,31,34,52,36,0
332,31,34,52,36,41,49,46,34,0
333,41,49,46,34,41,54,37,34,0
334,41,54,37,34,53,42,52,155,1
335,53,42,52,155,294,46,62,67,2
336,57,77,60,58,78,58,59,76,1
337,78,58,59,76,57,61,76,55,1
338,57,61,76,55,62,74,57,63,1
339,62,74,57,63,73,56,64,72,1
340,73,56,64,72,56,65,71,56,1
341,56,65,71,56,67,69,56,69,1
342,67,69,56,69,68,56,71,67,1
343,68,56,71,67,55,76,87,40,1
344,55,76,87,40,404,270,249,89,2
345,404,270,249,89,286,71,142,70,2
346,286,71,142,70,67,65,61,39,2
347,67,65,61,39,54,42,48,41,1
348,65,70,62,55,50,31,42,40,1
349,50,31,42,40,32,49,31,41,0
350,32,49,31,41,45,31,47,35,0
351,45,31,47,35,50,48,34,49,0
352,50,48,34,49,53,54,42,38,0
353,53,54,42,38,44,31,37,43,0
354,44,31,37,43,86,46,47,33,1
355,86,46,47,33,48,32,47,39,1
356,48,32,47,39,47,64,75,72,1
357,47,64,75,72,111,81,418,233,2
358,111,81,418,233,115,72,58,503,2
359,115,72,58,503,99,52,97,58,2
360,31,48,38,129,47,32,397,263,2
361,47,32,397,263,58,72,59,88,2
362,58,72,59,88,186,389,239,251,2
363,186,389,239,251,96,44,58,31,2
364,96,44,58,31,47,33,36,42,0
365,47,33,36,42,38,44,38,61,0
366,38,44,38,61,60,90,60,55,1
367,60,90,60,55,53,46,55,35,1
368,53,46,55,35,49,63,43,60,0
369,49,63,43,60,173,95,82,143,2
370,173,95,82,143,89,90,74,44,2
371,89,90,74,44,47,35,50,35,1
372,34,84,31,83,126,44,58,57,2
373,126,44,58,57,57,38,54,45,1
374,57,38,54,45,38,365,192,49,2
375,38,365,192,49,37,39,45,36,2
376,37,39,45,36,46,33,49,34,0
377,46,33,49,34,48,34,38,45,0
378,48,34,38,45,34,46,35,70,0
379,34,46,35,70,37,37,46,55,0
380,37,37,46,55,60,58,428,286,1
381,60,58,428,286,116,92,73,109,2
382,116,92,73,109,108,163,74,49,2
383,108,163,74,49,72,303,218,117,2
384,295,76,45,54,48,53,45,56,1
385,48,53,45,56,58,55,33,38,0
386,58,55,33,38,43,31,49,30,0
387,43,31,49,30,40,38,39,40,0
388,40,38,39,40,30,49,33,38,0
389,30,49,33,38,44,29,46,36,0
390,44,29,46,36,33,49,54,92,0
391,33,49,54,92,49,51,38,37,1
392,49,51,38,37,49,33,46,38,0
393,49,33,46,38,46,41,34,49,0
394,46,41,34,49,38,46,46,33,0
395,38,46,46,33,51,35,41,46,0
396,30,47,33,37,50,29,45,35,0
397,50,29,45,35,37,103,60,51,1
398,37,103,60,51,696,369,91,78,2
399,696,369,91,78,102,236,213,223,2
400,102,236,213,223,154,39,56,40,2
401,154,39,56,40,41,43,40,56,1
402,41,43,40,56,59,51,50,71,1
403,59,51,50,71,98,37,34,60,1
404,98,37,34,60,59,116,353,360,2
405,59,116,353,360,388,72,85,80,2
406,388,72,85,80,65,80,115,59,2
407,65,80,115,59,41,46,32,47,1
408,159,73,32,45,42,35,40,35,1
409,42,35,40,35,46,29,44,28,0
410,46,29,44,28,49,30,42,34,
411,49,30,42,34,39,37,36,40,
412,39,37,36,40,31,44,29,47,
413,31,44,29,47,28,45,30,41,
414,28,45,30,41,33,39,36,37,
415,33,39,36,37,43,36,46,33,
416,43,36,46,33,113,51,105,649,
417,113,51,105,649,132,284,114,301,
418,132,284,114,301,284,78,180,567,
419,284,78,180,567,61,65,65,49,
420,46,69,113,59,45,57,55,70,
421,45,57,55,70,79,54,56,122,
422,79,54,56,122,474,242,63,52,
423,474,242,63,52,47,31,43,34,
424,47,31,43,34,38,44,31,43,
425,38,44,31,43,81,45,34,41,
426,81,45,34,41,37,43,35,40,
427,37,43,35,40,47,51,68,258,
428,47,51,68,258,54,33,334,402,
429,54,33,334,402,182,126,61,42,
430,182,126,61,42,57,44,58,57,
431,57,44,58,57,69,73,63,70,
432,37,59,45,43,52,34,34,45,
433,52,34,34,45,31,39,44,30,
434,31,39,44,30,42,35,41,40,
435,42,35,41,40,30,48,33,33,
436,30,48,33,33,46,30,40,38,
437,46,30,40,38,28,47,30,35,
438,28,47,30,35,43,28,42,36,
439,43,28,42,36,30,48,50,35,
440,30,48,50,35,34,44,563,295,
441,34,44,563,295,57,100,351,372,
442,57,100,351,372,292,243,94,96,
443,292,243,94,96,447,135,84,86,
444,43,607,489,60,83,146,91,194,
445,83,146,91,194,203,207,300,199,
446,203,207,300,199,131,51,49,43,
447,131,51,49,43,36,52,41,35,
448,36,52,41,35,48,31,47,37,
449,48,31,47,37,32,83,42,49,
450,32,83,42,49,30,43,45,32,
451,30,43,45,32,44,36,40,44,
452,44,36,40,44,30,68,54,47,
453,30,68,54,47,56,47,144,61,
454,56,47,144,61,76,104,69,84,
455,76,104,69,84,81,67,86,86,
456,257,505,43,51,88,47,41,30,
457,88,47,41,30,48,32,40,42,
458,48,32,40,42,28,44,40,29,
459,28,44,40,29,43,32,43,56,
460,43,32,43,56,45,192,99,82,
461,45,192,99,82,152,295,344,299,
462,152,295,344,299,250,209,166,66,
463,250,209,166,66,33,38,55,70,
464,33,38,55,70,85,165,65,59,
465,85,165,65,59,62,163,58,41,
466,62,163,58,41,53,65,71,81,
467,53,65,71,81,63,70,81,62,
468,84,118,313,98,36,49,259,49,
469,36,49,259,49,68,66,66,120,
470,68,66,66,120,184,232,263,204,
471,184,232,263,204,151,347,363,439,
472,151,347,363,439,227,39,29,45,
473,227,39,29,45,28,40,38,27,
474,28,40,38,27,47,37,27,46,
475,47,37,27,46,28,36,47,28,
476,28,36,47,28,37,54,499,231,
477,37,54,499,231,175,208,137,58,
478,175,208,137,58,53,79,80,68,
479,53,79,80,68,80,90,86,109,
480,47,29,47,31,48,36,36,41,
481,48,36,36,41,37,48,61,103,
482,37,48,61,103,74,83,78,61,
483,74,83,78,61,80,97,99,63,
484,80,97,99,63,329,67,71,69,
485,329,67,71,69,63,72,64,74,
486,63,72,64,74,71,75,59,137,
487,71,75,59,137,303,229,250,99,
488,303,229,250,99,77,80,93,102,
489,77,80,93,102,217,472,329,152,
490,217,472,329,152,94,111,99,102,
491,94,111,99,102,102,101,106,94,
492,48,28,39,36,31,48,28,37,
493,31,48,28,37,48,28,39,36,
494,48,28,39,36,28,48,32,32,
495,28,48,32,32,46,28,37,41,
496,46,28,37,41,28,42,36,28,
497,28,42,36,28,48,31,33,46,
498,48,31,33,46,28,38,40,28,
499,28,38,40,28,44,66,58,76,
500,44,66,58,76,61,76,94,126,
501,61,76,94,126,120,104,119,102,
502,120,104,119,102,80,534,251,97,
503,80,534,251,97,83,69,84,71,
504,35,45,29,42,40,39,39,28,
505,40,39,39,28,50,33,34,45,
506,50,33,34,45,28,41,38,28,
507,28,41,38,28,47,32,34,44,
508,47,32,34,44,27,43,36,29,
509,27,43,36,29,48,29,37,42,
510,48,29,37,42,28,43,35,31,
511,28,43,35,31,54,409,101,111,
512,54,409,101,111,121,78,105,246,
513,121,78,105,246,236,271,277,155,
514,236,271,277,155,57,41,63,44,
515,57,41,63,44,51,59,39,53,
516,29,47,32,36,46,34,46,29,
517,46,34,46,29,45,38,30,48,
518,45,38,30,48,30,37,42,27,
519,30,37,42,27,45,33,33,47,
520,45,33,33,47,27,41,36,29,
521,27,41,36,29,48,29,37,41,
522,48,29,37,41,27,46,31,34,
523,27,46,31,34,44,28,41,33,
524,44,28,41,33,62,86,111,139,
525,62,86,111,139,165,470,115,87,
526,165,470,115,87,439,357,481,364,
527,439,357,481,364,136,110,90,107,
528,38,33,63,30,74,45,39,51,
529,74,45,39,51,35,60,45,66,
530,35,60,45,66,73,52,40,50,
531,73,52,40,50,50,34,31,41,
532,50,34,31,41,27,42,32,31,
533,27,42,32,31,40,27,46,29,
534,40,27,46,29,36,41,31,50,
535,36,41,31,50,47,28,35,55,
536,47,28,35,55,31,49,29,41,
537,31,49,29,41,36,38,42,28,
538,36,38,42,28,53,38,32,45,
539,53,38,32,45,29,42,42,28,
540,28,39,39,28,52,33,31,46,
541,52,33,31,46,30,38,39,26,
542,30,38,39,26,44,31,32,43,
543,44,31,32,43,27,40,37,31,
544,27,40,37,31,48,49,36,27,
545,48,49,36,27,52,52,64,58,
546,52,52,64,58,32,43,27,45,
547,32,43,27,45,27,34,39,24,
548,27,34,39,24,41,30,31,46,
549,41,30,31,46,28,41,38,29,
550,28,41,38,29,54,31,38,43,
551,54,31,38,43,28,43,35,30,
552,42,37,29,44,34,46,30,33,
553,34,46,30,33,48,26,37,36,
554,48,26,37,36,25,44,29,31,
555,25,44,29,31,43,25,37,36,
556,43,25,37,36,25,43,30,30,
557,25,43,30,30,43,24,37,36,
558,43,24,37,36,24,44,29,30,
559,24,44,29,30,43,24,37,35,
560,43,24,37,35,24,43,30,34,
561,24,43,30,34,45,27,42,36,
562,45,27,42,36,34,47,31,36,
563,34,47,31,36,44,27,43,36,
564,38,27,45,31,37,45,26,37,
565,37,45,26,37,39,25,44,28,
566,39,25,44,28,31,42,25,37,
567,31,42,25,37,36,24,45,28,
568,36,24,45,28,31,41,25,38,
569,31,41,25,38,34,25,45,27,
570,34,25,45,27,32,41,24,40,
571,32,41,24,40,32,28,44,24,
572,32,28,44,24,34,36,26,45,
573,34,36,26,45,32,32,45,27,
574,32,32,45,27,45,38,29,47,
575,45,38,29,47,31,57,98,82,
576,30,32,39,29,53,27,36,40,
577,53,27,36,40,39,38,27,45,
578,39,38,27,45,29,35,38,25,
579,29,35,38,25,44,29,31,42,
580,44,29,31,42,25,39,34,26,
581,25,39,34,26,47,95,64,117,
582,47,95,64,117,53,249,85,49,
583,53,249,85,49,72,94,179,198,
584,72,94,179,198,225,236,247,216,
585,225,236,247,216,240,313,119,71,
586,240,313,119,71,87,53,71,109,
587,87,53,71,109,67,68,44,41,
588,152,54,55,40,32,44,28,42,
589,32,44,28,42,35,32,40,29,
590,35,32,40,29,55,595,65,75,
591,55,595,65,75,61,135,191,209,
592,61,135,191,209,190,35,45,38,
593,190,35,45,38,44,40,32,62,
594,44,40,32,62,30,67,48,35,
595,30,67,48,35,47,30,40,35,
596,47,30,40,35,40,41,117,84,
597,40,41,117,84,37,78,66,75,
598,37,78,66,75,210,60,61,61,
599,210,60,61,61,58,41,48,79,
600,55,323,102,82,131,137,90,398,
601,131,137,90,398,189,98,64,45,
602,189,98,64,45,61,43,93,45,
603,61,43,93,45,65,35,133,39,
604,65,35,133,39,108,295,50,58,
605,108,295,50,58,531,110,107,47,
606,531,110,107,47,62,92,52,72,
607,62,92,52,72,57,79,46,52,
608,57,79,46,52,33,89,304,99,
609,33,89,304,99,57,117,82,56,
610,57,117,82,56,50,51,68,41,
611,50,51,68,41,49,76,69,88,
612,35,46,31,385,744,591,149,201,
613,744,591,149,201,75,181,303,405,
614,75,181,303,405,229,203,57,122,
615,229,203,57,122,77,60,45,88,
616,77,60,45,88,109,64,41,38,
617,109,64,41,38,34,100,42,76,
618,34,100,42,76,323,253,57,57,
619,323,253,57,57,491,85,43,36,
620,491,85,43,36,35,45,37,37,
621,35,45,37,37,43,42,50,72,
622,43,42,50,72,148,54,45,37,
623,148,54,45,37,65,77,73,69,
624,59,111,348,196,43,50,37,42,
625,43,50,37,42,30,48,33,83,
626,30,48,33,83,87,83,50,54,
627,87,83,50,54,64,65,64,74,
628,64,65,64,74,71,52,57,68,
629,71,52,57,68,61,47,40,63,
630,61,47,40,63,56,54,40,49,
631,56,54,40,49,64,36,48,40,
632,64,36,48,40,292,77,272,230,
633,292,77,272,230,51,80,65,163,
634,51,80,65,163,135,49,38,51,
635,135,49,38,51,61,53,74,75,
636,767,188,77,65,85,145,233,217,
637,85,145,233,217,165,141,37,559,
638,165,141,37,559,567,236,180,165,
639,567,236,180,165,211,229,243,265,
640,211,229,243,265,130,60,68,67,
641,130,60,68,67,72,84,90,115,
642,72,84,90,115,44,179,65,59,
643,44,179,65,59,326,115,54,47,
644,326,115,54,47,32,37,39,40,
645,32,37,39,40,44,39,33,45,
646,44,39,33,45,46,128,123,67,
647,46,128,123,67,77,361,232,96,
648,60,48,55,71,81,59,58,54,
649,81,59,58,54,52,31,38,39,
650,52,31,38,39,30,40,33,36,
651,30,40,33,36,39,37,37,34,
652,39,37,37,34,40,32,42,30,
653,40,32,42,30,43,29,43,29,
654,43,29,43,29,43,29,43,30,
655,43,29,43,30,42,31,40,41,
656,42,31,40,41,32,44,30,46,
657,32,44,30,46,37,44,37,40,
658,37,44,37,40,39,38,40,36,
659,39,38,40,36,43,34,45,32,
660,35,42,28,45,28,45,28,43,
661,28,45,28,43,30,44,27,43,
662,30,44,27,43,28,43,27,43,
663,28,43,27,43,28,43,28,42,
664,28,43,28,42,29,41,30,40,
665,29,41,30,40,31,40,31,38,
666,31,40,31,38,33,37,33,37,
667,33,37,33,37,34,35,36,34,
668,34,35,36,34,37,33,40,35,
669,37,33,40,35,45,35,44,36,
670,45,35,44,36,44,34,45,32,
671,44,34,45,32,46,33,46,31,
672,36,42,30,43,30,44,28,44,
673,30,44,28,44,29,44,27,43,
674,29,44,27,43,28,43,28,44,
675,28,43,28,44,27,44,28,43,
676,27,44,28,43,28,42,29,42,
677,28,42,29,42,29,41,30,40,
678,29,41,30,40,31,39,32,38,
679,31,39,32,38,32,37,34,36,
680,32,37,34,36,34,35,37,37,
681,34,35,37,37,43,37,42,36,
682,43,37,42,36,42,35,43,33,
683,42,35,43,33,45,33,45,32,
684,35,42,28,43,29,45,28,44,
685,29,45,28,44,30,43,27,43,
686,30,43,27,43,28,42,29,41,
687,28,42,29,41,29,41,30,40,
688,29,41,30,40,30,39,31,38,
689,30,39,31,38,33,37,33,36,
690,33,37,33,36,34,35,36,33,
691,34,35,36,33,37,32,38,31,
692,37,32,38,31,38,29,41,32,
693,38,29,41,32,47,32,46,31,
694,47,32,46,31,47,29,46,30,
695,47,29,46,30,48,29,46,31,
696,33,43,28,42,29,43,30,40,
697,29,43,30,40,32,40,30,40,
698,32,40,30,40,31,38,32,37,
699,31,38,32,37,34,36,34,35,
700,34,36,34,35,36,33,37,33,
701,36,33,37,33,37,32,38,31,
702,37,32,38,31,39,31,39,30,
703,39,31,39,30,40,29,41,28,
704,40,29,41,28,42,27,45,30,
705,42,27,45,30,50,30,46,30,
706,50,30,46,30,46,30,47,30,
707,46,30,47,30,46,31,45,31,
708,43,33,38,32,39,32,40,32,
